"Mach","p","tp","x","Points:0","Points:1","Points:2"
2.8508,0.034358,1.0065,1.2168,7.9089,0,0
2.8662,0.033579,1.0066,1.228,7.982,0,0
2.8815,0.0328,1.0067,1.2392,8.0551,0,0
2.8968,0.032023,1.0068,1.2505,8.1282,0,0
2.9096,0.031436,1.0072,1.2617,8.2013,0,0
2.9225,0.03085,1.0076,1.273,8.2744,0,0
2.9354,0.030263,1.0079,1.2842,8.3475,0,0
2.9482,0.029676,1.0083,1.2955,8.4206,0,0
2.9619,0.029131,1.0092,1.3067,8.4937,0,0
2.9757,0.028592,1.0101,1.318,8.5668,0,0
2.9895,0.028053,1.0111,1.3292,8.6399,0,0
3.0033,0.027514,1.012,1.3405,8.713,0,0
3.0171,0.026975,1.013,1.3517,8.7861,0,0
3.0309,0.026436,1.0139,1.363,8.8592,0,0
3.0447,0.025897,1.0149,1.3742,8.9323,0,0
3.0586,0.025358,1.0158,1.3854,9.0054,0,0
3.0731,0.02484,1.0169,1.3967,9.0785,0,0
3.0885,0.024344,1.018,1.4079,9.1516,0,0
3.1038,0.023847,1.0191,1.4192,9.2247,0,0
3.1192,0.023351,1.0202,1.4304,9.2978,0,0
3.1345,0.022854,1.0212,1.4417,9.3709,0,0
3.1498,0.022358,1.0223,1.4529,9.444,0,0
3.1652,0.021861,1.0234,1.4642,9.5171,0,0
3.1805,0.021365,1.0245,1.4754,9.5902,0,0
3.1961,0.020868,1.0256,1.4867,9.6633,0,0
3.2133,0.020375,1.026,1.4979,9.7364,0,0
3.2306,0.019881,1.0265,1.5092,9.8095,0,0
3.2479,0.019388,1.027,1.5204,9.8826,0,0
3.2652,0.018894,1.0275,1.5316,9.9557,0,0
3.2837,0.018414,1.0278,1.5429,10.029,0,0
3.3024,0.017935,1.0281,1.5541,10.102,0,0
3.3211,0.017456,1.0283,1.5654,10.175,0,0
3.3398,0.016978,1.0286,1.5766,10.248,0,0
3.3594,0.01652,1.0292,1.5879,10.321,0,0
3.3794,0.016077,1.03,1.5991,10.394,0,0
3.3994,0.015633,1.0308,1.6104,10.467,0,0
3.4194,0.015189,1.0315,1.6216,10.54,0,0
3.4404,0.014741,1.0323,1.6329,10.614,0,0
3.4632,0.014283,1.0331,1.6441,10.687,0,0
3.4864,0.013824,1.0339,1.6554,10.76,0,0
3.5114,0.01336,1.0349,1.6666,10.833,0,0
3.5365,0.012898,1.0358,1.6778,10.906,0,0
3.5619,0.01246,1.0365,1.6891,10.979,0,0
3.5873,0.012023,1.0373,1.7003,11.052,0,0
3.6157,0.011572,1.0389,1.7116,11.125,0,0
3.647,0.011085,1.0396,1.7228,11.198,0,0
