Density,Mach,Pressure,Temperature,x,Points:0,Points:1,Points:2,z,Gamma,1-gamma-1/M2
21.683,1.326,373630,386.05,-0.042815,-0.2783,0,0,0.842176160572888,6.60894131802344,-6.1776802418329
21.242,1.3438,364380,383.58,-0.031569,-0.2052,0,0,0.843776260825432,6.60696941458754,-6.16074107472919
20.808,1.3612,355320,381.12,-0.020323,-0.1321,0,0,0.845379485660637,6.60538306764918,-6.14508766702904
20.373,1.3786,346250,378.65,-0.009077,-0.059,0,0,0.846878224470878,6.60417626780528,-6.13034308006932
19.938,1.396,337180,376.18,0.0021692,0.0141,0,0,0.848220262820703,6.6033506920025,-6.11648276809383
19.554,1.4135,329270,373.9,0.013415,0.0872,0,0,0.849738348021807,6.60286894874887,-6.1033738956772
19.175,1.431,321470,371.63,0.024661,0.1603,0,0,0.851174183195165,6.60269311301148,-6.09103135170242
18.796,1.4485,313680,369.36,0.035908,0.2334,0,0,0.852502501067533,6.60282169544613,-6.07943153155312
18.414,1.4661,305840,367.06,0.047154,0.3065,0,0,0.853754913874144,6.60325214195701,-6.06848760569704
18.014,1.484,297740,364.53,0.0584,0.3796,0,0,0.855495797433844,6.60402207611731,-6.05810189245111
17.614,1.502,289630,362,0.069646,0.4527,0,0,0.85704003989984,6.60515333580881,-6.04841496123146
17.213,1.5199,281530,359.47,0.080892,0.5258,0,0,0.858478830662919,6.60663636114472,-6.03951880225157
16.834,1.5376,273880,357.03,0.092138,0.5989,0,0,0.859790053848991,6.60837893485837,-6.03135253264337
16.497,1.555,267150,354.76,0.10338,0.672,0,0,0.861270730352701,6.61024853402712,-6.02380918786652
16.159,1.5723,260420,352.5,0.11463,0.7451,0,0,0.862630605812254,6.61238003266094,-6.01688994768234
15.822,1.5897,253690,350.24,0.12588,0.8182,0,0,0.863774451511579,6.61477320854515,-6.01047648979075
15.492,1.6065,247190,347.98,0.13712,0.8913,0,0,0.865153672819811,6.61740350499745,-6.00487391315587
15.169,1.6229,240870,345.72,0.14837,0.9644,0,0,0.866613374754441,6.62027121329177,-5.99995012802181
14.846,1.6393,234560,343.46,0.15962,1.0375,0,0,0.867945511447074,6.62338600792936,-5.99550610214317
14.523,1.6557,228240,341.2,0.17086,1.1106,0,0,0.869061536771568,6.62674447640613,-5.99152925016127
14.245,1.6707,222860,339.18,0.18211,1.1837,0,0,0.8702891460085,6.62992660550651,-5.98819051007168
13.986,1.6851,217870,337.26,0.19335,1.2568,0,0,0.871491597531303,6.63311512151686,-5.98528210941088
13.727,1.6995,212880,335.34,0.2046,1.3299,0,0,0.87256542095457,6.63646982061386,-5.9826942133168
13.468,1.7139,207890,333.42,0.21585,1.403,0,0,0.873500131617549,6.63998755493692,-5.9804185094099
13.257,1.7261,203870,331.8,0.22709,1.4761,0,0,0.874491948681269,6.64306606514337,-5.9787017237215
13.052,1.738,199970,330.21,0.23834,1.5492,0,0,0.875430534937803,6.64619342291426,-5.97724865484493
12.847,1.7499,196080,328.63,0.24958,1.6223,0,0,0.876291295471253,6.64940757052373,-5.97597550375179
12.644,1.7616,192230,327.06,0.26083,1.6954,0,0,0.877068223735525,6.65270255556005,-5.97494696882155
12.527,1.7684,190030,326.12,0.27208,1.7685,0,0,0.877650870002851,6.65471598467079,-5.97448692021464
12.41,1.7752,187830,325.19,0.28332,1.8416,0,0,0.878173091134781,6.65674471289473,-5.97407054061757
12.294,1.782,185630,324.25,0.29457,1.9147,0,0,0.878615987511489,6.65882865075811,-5.97373730835289
12.188,1.7879,183640,323.4,0.30582,1.9878,0,0,0.879060879750878,6.66074313860446,-5.97357685299167
12.138,1.7896,182710,322.99,0.31706,2.0609,0,0,0.879326655544695,6.66167464029039,-5.97391429486641
12.088,1.7914,181770,322.59,0.32831,2.134,0,0,0.879510413182072,6.662591983151,-5.97420447571577
12.037,1.7931,180830,322.18,0.33955,2.2071,0,0,0.87978747519213,6.66353706641397,-5.9745589727101
12.005,1.7941,180230,321.92,0.3508,2.2802,0,0,0.879915746497651,6.66414001352628,-5.97481530009417
12.017,1.7931,180460,322.02,0.36205,2.3533,0,0,0.879885531906564,6.66390785594344,-5.97492976223957
12.03,1.7921,180680,322.12,0.37329,2.4264,0,0,0.87973302282127,6.66367676951494,-5.97504587594735
12.042,1.7911,180910,322.22,0.38454,2.4995,0,0,0.879702017226193,6.66344538193971,-5.97516227021303
12.076,1.7886,181550,322.5,0.39578,2.5726,0,0,0.879564232243134,6.66279982434135,-5.97538872071612
12.142,1.784,182790,323.04,0.40703,2.6457,0,0,0.879285746383736,6.66156300127673,-5.97576598142916
