"Mach","x","Points:0","Points:1","Points:2"
1.0618,3.2073,20.848,0,0
1.0739,3.2186,20.921,0,0
1.0859,3.2298,20.994,0,0
1.098,3.2411,21.067,0,0
1.1101,3.2523,21.14,0,0
1.1222,3.2636,21.213,0,0
1.1343,3.2748,21.286,0,0
1.1463,3.286,21.359,0,0
1.1584,3.2973,21.432,0,0
1.1701,3.3085,21.505,0,0
1.1812,3.3198,21.579,0,0
1.1922,3.331,21.652,0,0
1.2033,3.3423,21.725,0,0
1.2143,3.3535,21.798,0,0
1.2254,3.3648,21.871,0,0
1.2365,3.376,21.944,0,0
1.2475,3.3873,22.017,0,0
1.2586,3.3985,22.09,0,0
1.2696,3.4098,22.163,0,0
1.2797,3.421,22.236,0,0
1.2894,3.4322,22.31,0,0
1.2992,3.4435,22.383,0,0
1.3089,3.4547,22.456,0,0
1.3187,3.466,22.529,0,0
1.3285,3.4772,22.602,0,0
1.3382,3.4885,22.675,0,0
1.348,3.4997,22.748,0,0
1.3577,3.511,22.821,0,0
1.3672,3.5222,22.894,0,0
1.3752,3.5335,22.968,0,0
1.3831,3.5447,23.041,0,0
1.391,3.556,23.114,0,0
1.3989,3.5672,23.187,0,0
1.4069,3.5784,23.26,0,0
1.4148,3.5897,23.333,0,0
1.4227,3.6009,23.406,0,0
1.4306,3.6122,23.479,0,0
1.4386,3.6234,23.552,0,0
1.4456,3.6347,23.625,0,0
1.4514,3.6459,23.698,0,0
1.4573,3.6572,23.772,0,0
1.4632,3.6684,23.845,0,0
1.469,3.6797,23.918,0,0
1.4749,3.6909,23.991,0,0
1.4807,3.7022,24.064,0,0
1.4866,3.7134,24.137,0,0
1.4924,3.7246,24.21,0,0
1.4983,3.7359,24.283,0,0
1.5029,3.7471,24.356,0,0
1.5069,3.7584,24.43,0,0
1.5109,3.7696,24.503,0,0
1.5149,3.7809,24.576,0,0
1.5189,3.7921,24.649,0,0
1.5229,3.8034,24.722,0,0
1.5269,3.8146,24.795,0,0
1.5309,3.8259,24.868,0,0
1.5348,3.8371,24.941,0,0
1.5388,3.8484,25.014,0,0
1.5419,3.8596,25.087,0,0
1.5449,3.8708,25.16,0,0
1.5478,3.8821,25.234,0,0
1.5507,3.8933,25.307,0,0
1.5536,3.9046,25.38,0,0
1.5565,3.9158,25.453,0,0
1.5594,3.9271,25.526,0,0
1.5623,3.9383,25.599,0,0
1.5652,3.9496,25.672,0,0
1.5681,3.9608,25.745,0,0
1.5686,3.9721,25.818,0,0
1.5688,3.9833,25.892,0,0
1.569,3.9946,25.965,0,0
1.5692,4.0058,26.038,0,0
1.5694,4.017,26.111,0,0
1.5696,4.0283,26.184,0,0
1.5699,4.0395,26.257,0,0
1.5701,4.0508,26.33,0,0
1.5703,4.062,26.403,0,0
1.5705,4.0733,26.476,0,0
1.5656,4.0845,26.549,0,0
1.5603,4.0958,26.622,0,0
1.555,4.107,26.696,0,0
1.5497,4.1183,26.769,0,0
1.5444,4.1295,26.842,0,0
1.5391,4.1408,26.915,0,0
1.5338,4.152,26.988,0,0
1.5285,4.1632,27.061,0,0
1.5232,4.1745,27.134,0,0
1.5179,4.1857,27.207,0,0
1.5087,4.197,27.28,0,0
1.499,4.2082,27.354,0,0
1.4893,4.2195,27.427,0,0
1.4796,4.2307,27.5,0,0
1.4699,4.242,27.573,0,0
1.4602,4.2532,27.646,0,0
1.4505,4.2645,27.719,0,0
1.4408,4.2757,27.792,0,0
1.4311,4.287,27.865,0,0
1.4214,4.2982,27.938,0,0
1.4097,4.3094,28.011,0,0
1.3974,4.3207,28.084,0,0
1.3851,4.3319,28.158,0,0
1.3729,4.3432,28.231,0,0
1.3606,4.3544,28.304,0,0
1.3483,4.3657,28.377,0,0
1.336,4.3769,28.45,0,0
1.3237,4.3882,28.523,0,0
1.3114,4.3994,28.596,0,0
1.2991,4.4107,28.669,0,0
1.2878,4.4219,28.742,0,0
1.2772,4.4332,28.816,0,0
1.2666,4.4444,28.889,0,0
1.256,4.4556,28.962,0,0
1.2453,4.4669,29.035,0,0
1.2347,4.4781,29.108,0,0
1.2241,4.4894,29.181,0,0
1.2135,4.5006,29.254,0,0
1.2028,4.5119,29.327,0,0
1.1922,4.5231,29.4,0,0
1.1833,4.5344,29.473,0,0
1.1779,4.5456,29.546,0,0
1.1724,4.5569,29.62,0,0
1.1669,4.5681,29.693,0,0
1.1614,4.5794,29.766,0,0
1.1559,4.5906,29.839,0,0
1.1504,4.6018,29.912,0,0
1.1449,4.6131,29.985,0,0
1.1394,4.6243,30.058,0,0
1.134,4.6356,30.131,0,0
1.1285,4.6468,30.204,0,0
1.126,4.6581,30.278,0,0
1.1234,4.6693,30.351,0,0
1.1209,4.6806,30.424,0,0
1.1183,4.6918,30.497,0,0
1.1158,4.7031,30.57,0,0
1.1132,4.7143,30.643,0,0
1.1107,4.7256,30.716,0,0
1.1081,4.7368,30.789,0,0
1.1056,4.748,30.862,0,0
1.103,4.7593,30.935,0,0
1.1025,4.7705,31.008,0,0
1.1032,4.7818,31.082,0,0
1.1039,4.793,31.155,0,0
1.1046,4.8043,31.228,0,0
1.1053,4.8155,31.301,0,0
1.106,4.8268,31.374,0,0
1.1067,4.838,31.447,0,0
1.1074,4.8493,31.52,0,0
1.1081,4.8605,31.593,0,0
1.1088,4.8718,31.666,0,0
1.1094,4.883,31.74,0,0
1.1093,4.8942,31.813,0,0
1.1092,4.9055,31.886,0,0
1.1091,4.9167,31.959,0,0
1.109,4.928,32.032,0,0
1.1089,4.9392,32.105,0,0
1.1088,4.9505,32.178,0,0
1.1087,4.9617,32.251,0,0
1.1086,4.973,32.324,0,0
1.1085,4.9842,32.397,0,0
1.1084,4.9955,32.471,0,0
1.11,5.0067,32.544,0,0
1.1127,5.018,32.617,0,0
1.1154,5.0292,32.69,0,0
1.1181,5.0404,32.763,0,0
1.1208,5.0517,32.836,0,0
1.1235,5.0629,32.909,0,0
1.1262,5.0742,32.982,0,0
1.1289,5.0854,33.055,0,0
1.1316,5.0967,33.128,0,0
1.1343,5.1079,33.201,0,0
1.1371,5.1192,33.275,0,0
1.1411,5.1304,33.348,0,0
1.1451,5.1417,33.421,0,0
1.1492,5.1529,33.494,0,0
1.1532,5.1642,33.567,0,0
1.1572,5.1754,33.64,0,0
1.1613,5.1866,33.713,0,0
1.1653,5.1979,33.786,0,0
1.1693,5.2091,33.859,0,0
1.1733,5.2204,33.932,0,0
1.1774,5.2316,34.006,0,0
1.1819,5.2429,34.079,0,0
1.1874,5.2541,34.152,0,0
1.1928,5.2654,34.225,0,0
1.1983,5.2766,34.298,0,0
1.2038,5.2879,34.371,0,0
1.2093,5.2991,34.444,0,0
1.2147,5.3104,34.517,0,0
1.2202,5.3216,34.59,0,0
1.2257,5.3328,34.664,0,0
1.2311,5.3441,34.737,0,0
1.2366,5.3553,34.81,0,0
1.2425,5.3666,34.883,0,0
1.2488,5.3778,34.956,0,0
1.255,5.3891,35.029,0,0
1.2613,5.4003,35.102,0,0
1.2675,5.4116,35.175,0,0
1.2738,5.4228,35.248,0,0
1.2801,5.4341,35.321,0,0
1.2863,5.4453,35.395,0,0
1.2926,5.4566,35.468,0,0
1.2988,5.4678,35.541,0,0
1.3051,5.479,35.614,0,0
1.3117,5.4903,35.687,0,0
1.3185,5.5015,35.76,0,0
1.3252,5.5128,35.833,0,0
1.332,5.524,35.906,0,0
1.3387,5.5353,35.979,0,0
1.3455,5.5465,36.052,0,0
1.3523,5.5578,36.125,0,0
1.359,5.569,36.199,0,0
1.3658,5.5803,36.272,0,0
1.3725,5.5915,36.345,0,0
1.3793,5.6028,36.418,0,0
1.3863,5.614,36.491,0,0
1.3934,5.6252,36.564,0,0
1.4005,5.6365,36.637,0,0
1.4075,5.6477,36.71,0,0
1.4146,5.659,36.783,0,0
1.4217,5.6702,36.856,0,0
1.4287,5.6815,36.93,0,0
1.4358,5.6927,37.003,0,0
1.4429,5.704,37.076,0,0
1.4499,5.7152,37.149,0,0
1.457,5.7265,37.222,0,0
1.464,5.7377,37.295,0,0
1.471,5.749,37.368,0,0
1.478,5.7602,37.441,0,0
1.485,5.7714,37.514,0,0
1.4921,5.7827,37.588,0,0
1.4991,5.7939,37.661,0,0
1.5061,5.8052,37.734,0,0
1.5131,5.8164,37.807,0,0
1.5201,5.8277,37.88,0,0
1.5271,5.8389,37.953,0,0
1.5342,5.8502,38.026,0,0
1.5409,5.8614,38.099,0,0
1.5475,5.8727,38.172,0,0
1.5542,5.8839,38.245,0,0
1.5608,5.8952,38.319,0,0
1.5674,5.9064,38.392,0,0
1.5741,5.9176,38.465,0,0
1.5807,5.9289,38.538,0,0
1.5874,5.9401,38.611,0,0
1.594,5.9514,38.684,0,0
1.6007,5.9626,38.757,0,0
1.6073,5.9739,38.83,0,0
1.6132,5.9851,38.903,0,0
1.6187,5.9964,38.976,0,0
1.6243,6.0076,39.049,0,0
1.6298,6.0189,39.123,0,0
1.6354,6.0301,39.196,0,0
1.6409,6.0414,39.269,0,0
1.6465,6.0526,39.342,0,0
1.652,6.0638,39.415,0,0
1.6576,6.0751,39.488,0,0
